Name,OID__c,Status__c,SDID__c,SD_Name__c
Helicopter,O-003402,Active,SD-000135,Expressive
Helicopter,O-003403,Active,SD-000007,2D Receptive
helicopter,O-003404,Active,SD-000266,Matching
helicopter,O-003405,Active,SD-000154,Expressive
Teacher's name,O-006302,Active,SD-000411,Reciprocal
teachers,O-006303,Active,SD-000246,List
teachers,O-006304,Active,SD-000332,Q/A
Swimming pool,O-006099,Active,SD-000381,Receptive
Swimming pool,O-006100,Active,SD-000168,Expressive Occupation Location
Swimming pool,O-006101,Active,SD-000139,Expressive
Swimming pool,O-006102,Active,SD-000400,Receptive Function
Food Play,O-002780,Active,SD-000023,Activity
Foot,O-002781,Active,SD-000371,Receptive
Foot,O-002782,Active,SD-000131,Expressive
for,O-002783,Active,SD-000260,Matching
Cold,O-001745,Active,SD-000086,Exp. non-visual
cold,O-001746,Active,SD-000415,Reverse why/because
Cold drinks,O-001747,Active,SD-000034,Brainstorming
Cold drinks,O-001748,Active,SD-000129,Expressive
?n,O-000691,Active,SD-000484,VC - VI
and,O-000692,Active,SD-000260,Matching
and,O-000693,Active,SD-000140,Expressive
and,O-000694,Active,SD-000266,Matching
Wave,O-007163,Active,SD-000352,Rec. Instr.
wave,O-007164,Active,SD-000182,Future
Waved,O-007166,Active,SD-000088,Exp. past tense
Near,O-004440,Active,SD-000086,Exp. non-visual
Need help,O-004442,Active,SD-000338,Q/A
Need to use the bathroom,O-004443,Active,SD-000338,Q/A
Neither client or TA,O-004444,Active,SD-000215,If/then
l,O-004029,Active,SD-000145,Expressive
l,O-004030,Active,SD-000521,Write (with visual)
L,O-004031,Active,SD-000521,Write (with visual)
L shape,O-004032,Active,SD-000180,From model
r,O-005258,Active,SD-000445,Sound paired w gesture
R,O-005259,Active,SD-000259,Matching
r,O-005260,Active,SD-000259,Matching
R,O-005261,Active,SD-000380,Receptive
s?,O-005465,Active,SD-000065,CV - VI
Sad,O-005466,Active,SD-000207,How they feel
Sad,O-005467,Active,SD-000208,How to help
Sad,O-005468,Active,SD-000258,Matching
1,O-000001,Active,SD-000141,Expressive
1,O-000002,Active,SD-000206,How many (items)?
1,O-000003,Active,SD-000285,Non-ID quantity matching
1,O-000004,Active,SD-000342,Quantity to numeral matching
1,O-000005,Active,SD-000261,Matching
1,O-000006,Active,SD-000383,Receptive
1,O-000007,Active,SD-000192,Give me (number) (item)
1,O-000008,Active,SD-000521,Write (with visual)
1,O-000009,Active,SD-000479,Trace
2,O-000010,Active,SD-000141,Expressive
2,O-000011,Active,SD-000206,How many (items)?
2,O-000012,Active,SD-000285,Non-ID quantity matching
2,O-000013,Active,SD-000342,Quantity to numeral matching
2,O-000014,Active,SD-000261,Matching
2,O-000015,Active,SD-000383,Receptive
2,O-000016,Active,SD-000192,Give me (number) (item)
2,O-000017,Active,SD-000521,Write (with visual)
2,O-000018,Active,SD-000479,Trace
3,O-000019,Active,SD-000141,Expressive
3,O-000020,Active,SD-000206,How many (items)?
3,O-000021,Active,SD-000285,Non-ID quantity matching
3,O-000022,Active,SD-000342,Quantity to numeral matching
3,O-000023,Active,SD-000261,Matching
3,O-000024,Active,SD-000383,Receptive
3,O-000025,Active,SD-000192,Give me (number) (item)
3,O-000026,Active,SD-000521,Write (with visual)
3,O-000027,Active,SD-000479,Trace
4,O-000028,Active,SD-000141,Expressive
4,O-000029,Active,SD-000206,How many (items)?
4,O-000030,Active,SD-000285,Non-ID quantity matching
4,O-000031,Active,SD-000342,Quantity to numeral matching
4,O-000032,Active,SD-000261,Matching
4,O-000033,Active,SD-000383,Receptive
4,O-000034,Active,SD-000192,Give me (number) (item)
4,O-000035,Active,SD-000521,Write (with visual)
4,O-000036,Active,SD-000479,Trace
5,O-000037,Active,SD-000141,Expressive
5,O-000038,Active,SD-000206,How many (items)?
5,O-000039,Active,SD-000285,Non-ID quantity matching
5,O-000040,Active,SD-000342,Quantity to numeral matching
5,O-000041,Active,SD-000261,Matching
5,O-000042,Active,SD-000383,Receptive
5,O-000043,Active,SD-000192,Give me (number) (item)
5,O-000044,Active,SD-000521,Write (with visual)
5,O-000045,Active,SD-000479,Trace
6,O-000046,Active,SD-000141,Expressive
6,O-000047,Active,SD-000206,How many (items)?
6,O-000048,Active,SD-000285,Non-ID quantity matching
6,O-000049,Active,SD-000342,Quantity to numeral matching
6,O-000050,Active,SD-000261,Matching
6,O-000051,Active,SD-000383,Receptive
6,O-000052,Active,SD-000192,Give me (number) (item)
6,O-000053,Active,SD-000521,Write (with visual)
6,O-000054,Active,SD-000479,Trace
7,O-000055,Active,SD-000141,Expressive
7,O-000056,Active,SD-000206,How many (items)?
7,O-000057,Active,SD-000261,Matching
7,O-000058,Active,SD-000383,Receptive
7,O-000059,Active,SD-000192,Give me (number) (item)
7,O-000060,Active,SD-000521,Write (with visual)
7,O-000061,Active,SD-000479,Trace
8,O-000062,Active,SD-000141,Expressive
8,O-000063,Active,SD-000206,How many (items)?
8,O-000064,Active,SD-000261,Matching
8,O-000065,Active,SD-000383,Receptive
8,O-000066,Active,SD-000192,Give me (number) (item)
8,O-000067,Active,SD-000521,Write (with visual)
8,O-000068,Active,SD-000479,Trace
9,O-000069,Active,SD-000141,Expressive
9,O-000070,Active,SD-000206,How many (items)?
9,O-000071,Active,SD-000261,Matching
9,O-000072,Active,SD-000383,Receptive
9,O-000073,Active,SD-000192,Give me (number) (item)
9,O-000074,Active,SD-000521,Write (with visual)
9,O-000075,Active,SD-000479,Trace
10,O-000076,Active,SD-000141,Expressive
10,O-000077,Active,SD-000206,How many (items)?
10,O-000078,Active,SD-000261,Matching
10,O-000079,Active,SD-000383,Receptive
10,O-000080,Active,SD-000192,Give me (number) (item)
10,O-000081,Active,SD-000479,Trace
11,O-000082,Active,SD-000141,Expressive
11,O-000083,Active,SD-000261,Matching
11,O-000084,Active,SD-000383,Receptive
12,O-000085,Active,SD-000141,Expressive
12,O-000086,Active,SD-000261,Matching
12,O-000087,Active,SD-000383,Receptive
13,O-000088,Active,SD-000141,Expressive
13,O-000089,Active,SD-000261,Matching
13,O-000090,Active,SD-000383,Receptive
14,O-000091,Active,SD-000141,Expressive
14,O-000092,Active,SD-000261,Matching
14,O-000093,Active,SD-000383,Receptive
15,O-000094,Active,SD-000141,Expressive
15,O-000095,Active,SD-000261,Matching
15,O-000096,Active,SD-000383,Receptive
16,O-000097,Active,SD-000141,Expressive
16,O-000098,Active,SD-000261,Matching
16,O-000099,Active,SD-000383,Receptive
17,O-000100,Active,SD-000141,Expressive
17,O-000101,Active,SD-000261,Matching
17,O-000102,Active,SD-000383,Receptive
18,O-000103,Active,SD-000141,Expressive
18,O-000104,Active,SD-000261,Matching
18,O-000105,Active,SD-000383,Receptive
19,O-000106,Active,SD-000141,Expressive
19,O-000107,Active,SD-000261,Matching
19,O-000108,Active,SD-000383,Receptive
20,O-000109,Active,SD-000141,Expressive
